lc116,codigo,descricao,aliquota,base_legal
15.18,151810,"Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário.",5%,Portaria F/SUBTF/CIS N° 256/2018
16.01,160107,"Serviços de transporte coletivo municipal rodoviário, metroviário, ferroviário e aquaviário de passageiros.",2%,Portaria F/SUBTF/CIS N° 256/2018
17.01,170102,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.02,170211,"Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infraestrutura administrativa e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.03,170312,"Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.04,170403,"Recrutamento, agenciamento, seleção e colocação de mão-de-obra.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.05,170502,"Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.06,170613,"Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.",3%,Portaria F/SUBTF/CIS N° 256/2018
17.08,170801,Franquia (franchising).,5%,Portaria F/SUBTF/CIS N° 256/2018
17.09,170904,"Perícias, laudos, exames técnicos e análises técnicas.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.10,171009,"Planejamento, organização e administração de feiras, exposições, congressos e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.11,171104,"Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS).",5%,Portaria F/SUBTF/CIS N° 256/2018
17.12,171207,"Administração em geral, inclusive de bens e negócios de terceiros.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.13,171301,Leilão e congêneres.,5%,Portaria F/SUBTF/CIS N° 256/2018
17.14,171401,Advocacia.,5%,Portaria F/SUBTF/CIS N° 256/2018
17.15,171501,"Arbitragem de qualquer espécie, inclusive jurídica.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.16,1716,Auditoria.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
17.17,229130,Análise de Organização e Métodos.,5%,Portaria CIS/SUBTF Nº 265F/2019
17.18,171802,Atuária e cálculos técnicos de qualquer natureza.,5%,Portaria F/SUBTF/CIS N° 256/2018
17.19,171901,"Contabilidade, inclusive serviços técnicos e auxiliares.",5%,Portaria F/SUBTF/CIS N° 256/2018
17.20,172001,Consultoria e assessoria econômica ou financeira.,5%,Portaria F/SUBTF/CIS N° 256/2018
17.21,172101,Estatística.,5%,Portaria F/SUBTF/CIS N° 256/2018
17.22,172201,Cobrança em geral.,5%,Portaria F/SUBTF/CIS N° 256/2018
17.23,172301,"Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring).",5%,Portaria F/SUBTF/CIS N° 256/2018
17.24,172403,"Apresentação de palestras, conferências, seminários e congêneres.",2%,Portaria F/SUBTF/CIS N° 256/2018
17.25,172503,"Inserção de textos, desenhos e outros materiais de propaganda e publicidade, em qualquer meio (exceto em livros, jornais, periódicos e nas modalidades de serviços de radiodifusão sonora e de sons e imagens de recepção livre e gratuita).",3%,Portaria F/SUBTF/CIS N° 256/2018
18.01,180105,Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.,5%,Portaria F/SUBTF/CIS N° 256/2018
